代码,名称,类型,最新净值,净值日期,近1月,近3月,近6月,近1年,近3年,成立来,分红次数,规模(亿),特点
515080,中证红利ETF招商,红利,1.5746,2026-04-30,2.15,3.82,8.45,12.36,28.67,85.32,16,88.68,高股息、低波动、定期分红
510880,上证红利ETF华泰柏瑞,红利,3.2145,2026-04-30,1.89,3.45,7.82,11.54,26.84,245.67,19,171.39,历史最久、分红稳定
510300,沪深300ETF华泰柏瑞,宽基-大盘,4.8231,2026-04-30,8.15,2.31,4.13,30.83,28.33,124.86,14,1999.14,大盘蓝筹、市场代表
510500,中证500ETF南方,宽基-中盘,8.4285,2026-04-30,9.74,-0.27,14.15,50.86,40.0,181.5,3,724.77,中盘成长、行业分散
159915,创业板ETF易方达,宽基-成长,3.6865,2026-04-30,16.04,10.59,16.5,92.02,63.29,322.32,0,510.3,高成长、高波动、创新企业
588000,科创50ETF华夏,宽基-科技,1.6552,2026-04-30,25.05,4.16,11.33,55.77,46.14,14.95,0,685.48,科技创新、硬科技龙头
512760,芯片ETF国泰,行业-科技,0.9838,2026-04-30,28.18,4.89,20.59,67.47,80.68,293.52,0,87.13,半导体芯片、高弹性
159928,消费ETF汇添富,行业-消费,0.7464,2026-04-30,0.27,-4.02,-10.06,-8.79,-25.46,198.83,0,199.95,日常生活需求、长期稳定
512010,医药ETF易方达,行业-医药,0.3697,2026-04-30,1.71,-2.48,-10.53,4.2,-19.84,47.88,0,172.15,医疗健康、防御属性
513100,纳指ETF国泰,海外-美股,1.8625,2026-04-29,16.54,3.24,0.68,32.0,99.62,831.25,0,155.34,美股科技、全球配置
511010,国债ETF国泰,债券-国债,140.883,2026-04-30,0.29,0.74,1.04,1.64,10.27,45.32,5,38.13,低风险、稳定收益
